Drilled depth (m),Tilt (Degrees),Distance E (m),Distance N (m),True Vertical Depth (m),Temperature (degrees C)
110,1.016,-0.832,-0.461,109.995,25.136
111,1.023,-0.848,-0.469,110.994,25.357
112,1.029,-0.863,-0.478,111.994,25.554
113,1.023,-0.879,-0.487,112.994,25.751
114,0.999,-0.895,-0.495,113.994,25.941
115,1,-0.91,-0.504,114.994,26.136
116,1.007,-0.925,-0.512,115.994,26.346
117,1.014,-0.941,-0.521,116.994,26.548
118,1.02,-0.956,-0.529,117.993,26.76
119,1.025,-0.972,-0.538,118.993,26.953
120,1.031,-0.987,-0.547,119.993,27.116
121,1.038,-1.003,-0.556,120.993,27.307
122,1.046,-1.019,-0.564,121.993,27.501
123,1.053,-1.035,-0.573,122.993,27.693
124,1.06,-1.051,-0.582,123.992,27.911
125,1.068,-1.067,-0.591,124.992,28.087
126,1.076,-1.084,-0.6,125.992,28.252
127,1.085,-1.1,-0.609,126.992,28.439
128,1.093,-1.117,-0.619,127.992,28.633
129,1.102,-1.134,-0.628,128.991,28.816
130,1.11,-1.151,-0.637,129.991,28.996
131,1.12,-1.168,-0.647,130.991,29.199
132,1.129,-1.185,-0.656,131.991,29.383
133,1.139,-1.202,-0.666,132.991,29.571
134,1.149,-1.22,-0.675,133.991,29.738
135,1.158,-1.237,-0.685,134.99,29.911
136,1.169,-1.255,-0.695,135.99,30.084
137,1.178,-1.273,-0.705,136.99,30.263
138,1.19,-1.291,-0.715,137.99,30.44
139,1.204,-1.309,-0.725,138.989,30.617
140,1.218,-1.328,-0.735,139.989,30.781
141,1.23,-1.346,-0.745,140.989,30.964
142,1.243,-1.365,-0.756,141.989,31.126
143,1.255,-1.384,-0.766,142.989,31.29
144,1.266,-1.404,-0.777,143.988,31.486
145,1.277,-1.423,-0.788,144.988,31.655
146,1.287,-1.443,-0.799,145.988,31.819
147,1.298,-1.462,-0.81,146.988,31.985
148,1.308,-1.482,-0.821,147.987,32.142
149,1.319,-1.502,-0.832,148.987,32.323
150,1.331,-1.523,-0.843,149.987,32.503
151,1.343,-1.543,-0.854,150.986,32.663
152,1.355,-1.564,-0.866,151.986,32.826
153,1.366,-1.584,-0.877,152.986,32.994
154,1.378,-1.605,-0.889,153.986,33.147
155,1.389,-1.626,-0.9,154.985,33.298
156,1.399,-1.648,-0.912,155.985,33.463
157,1.409,-1.669,-0.924,156.985,33.619
158,1.418,-1.691,-0.936,157.984,33.782
159,1.425,-1.712,-0.948,158.984,33.957
160,1.431,-1.734,-0.96,159.984,34.118
161,1.436,-1.756,-0.972,160.984,34.265
162,1.44,-1.778,-0.984,161.983,34.421
163,1.442,-1.8,-0.996,162.983,34.567
164,1.442,-1.822,-1.009,163.983,34.745
165,1.441,-1.844,-1.021,164.982,34.894
166,1.441,-1.866,-1.033,165.982,35.035
167,1.439,-1.888,-1.045,166.982,35.196
168,1.438,-1.91,-1.057,167.981,35.317
169,1.437,-1.932,-1.069,168.981,35.442
170,1.436,-1.954,-1.082,169.981,35.573
171,1.437,-1.976,-1.094,170.98,35.722
172,1.439,-1.998,-1.106,171.98,35.848
173,1.445,-2.02,-1.118,172.98,35.978
174,1.457,-2.042,-1.13,173.979,36.122
175,1.475,-2.064,-1.143,174.979,36.254
176,1.499,-2.087,-1.155,175.979,36.374
177,1.535,-2.11,-1.168,176.978,36.52
178,1.583,-2.134,-1.181,177.978,36.661
179,1.64,-2.159,-1.195,178.978,36.793
180,1.703,-2.184,-1.209,179.977,36.935
181,1.769,-2.211,-1.224,180.977,37.107
182,1.838,-2.238,-1.239,181.976,37.242
183,1.91,-2.267,-1.255,182.976,37.344
184,1.985,-2.297,-1.271,183.975,37.484
185,2.065,-2.328,-1.288,184.975,37.639
186,2.149,-2.36,-1.306,185.974,37.785
187,2.239,-2.393,-1.325,186.973,37.954
188,2.333,-2.428,-1.344,187.972,38.102
189,2.431,-2.464,-1.364,188.971,38.224
190,2.531,-2.502,-1.385,189.971,38.376
191,2.634,-2.542,-1.407,190.969,38.526
192,2.739,-2.583,-1.429,191.968,38.669
193,2.845,-2.625,-1.453,192.967,38.828
194,2.951,-2.67,-1.477,193.966,38.961
195,3.057,-2.716,-1.503,194.965,39.096
196,3.16,-2.763,-1.529,195.963,39.235
197,3.261,-2.812,-1.556,196.962,39.325
198,3.357,-2.863,-1.584,197.96,39.412
199,3.445,-2.914,-1.613,198.958,39.517
200,3.525,-2.968,-1.642,199.956,39.607
201,3.595,-3.022,-1.672,200.954,39.686
202,3.65,-3.077,-1.703,201.952,39.777
203,3.693,-3.133,-1.734,202.95,39.857
204,3.724,-3.19,-1.765,203.948,39.928
205,3.744,-3.247,-1.797,204.946,39.99
206,3.756,-3.304,-1.828,205.944,40.038
207,3.759,-3.361,-1.86,206.942,40.079
208,3.754,-3.419,-1.892,207.94,40.161
209,3.739,-3.476,-1.923,208.937,40.226
210,3.715,-3.533,-1.955,209.935,40.296
211,3.684,-3.589,-1.986,210.933,40.393
212,3.644,-3.645,-2.017,211.931,40.473
213,3.598,-3.701,-2.047,212.929,40.552
214,3.547,-3.755,-2.078,213.927,40.692
215,3.491,-3.809,-2.107,214.925,40.855
